PLAYER,2019/20 ,2019/20(*)
Boban Marjanovic,"$3,500,000 ","$4,169,083 "
Dario Saric,"$3,481,985 ","$4,147,624 "
Taurean Prince,"$3,481,985 ","$4,147,624 "
Romeo Langford,"$3,458,400 ","$4,119,530 "
Bam Adebayo,"$3,454,080 ","$4,114,384 "
Michael Porter,"$3,389,400 ","$4,037,340 "
Denzel Valentine,"$3,377,568 ","$4,023,246 "
Juan Hernangomez,"$3,321,029 ","$3,955,898 "
Sekou Doumbouya,"$3,285,120 ","$3,913,125 "
Justin Jackson,"$3,280,920 ","$3,908,122 "
Troy Brown,"$3,219,480 ","$3,834,937 "
Yogi Ferrell,"$3,150,000 ","$3,752,174 "
Zhaire Smith,"$3,058,800 ","$3,643,540 "
Khem Birch,"$3,000,000 ","$3,573,499 "
Quinn Cook,"$3,000,000 ","$3,573,499 "
Ryan Arcidiacono,"$3,000,000 ","$3,573,499 "
Nickeil Alexander-Walker,"$2,964,840 ","$3,531,618 "
DJ Wilson,"$2,961,120 ","$3,527,187 "
Cedi Osman,"$2,907,143 ","$3,462,891 "
Donte DiVincenzo,"$2,905,800 ","$3,461,292 "
Bryn Forbes,"$2,875,000 ","$3,424,604 "
Goga Bitadze,"$2,816,760 ","$3,355,230 "
TJ Leaf,"$2,813,280 ","$3,351,085 "
Lonnie Walker,"$2,764,200 ","$3,292,622 "
Alex Caruso,"$2,750,000 ","$3,275,708 "
Malik Beasley,"$2,731,713 ","$3,253,925 "
Luka Samanic,"$2,689,920 ","$3,204,143 "
John Collins,"$2,686,560 ","$3,200,140 "
Kevin Huerter,"$2,636,280 ","$3,140,248 "
Caris LeVert,"$2,625,717 ","$3,127,666 "
Marko Guduric,"$2,625,000 ","$3,126,812 "
DeAndre Bembry,"$2,603,981 ","$3,101,775 "
Matisse Thybulle,"$2,582,160 ","$3,075,782 "
Harry Giles,"$2,578,800 ","$3,071,780 "
Wesley Matthews,"$2,564,753 ","$3,055,048 "
Kyle Korver,"$2,564,753 ","$3,055,048 "
Udonis Haslem,"$2,564,753 ","$3,055,048 "
Jared Dudley,"$2,564,753 ","$3,055,048 "
Rajon Rondo,"$2,564,753 ","$3,055,048 "
Dwight Howard,"$2,564,753 ","$3,055,048 "
Tyson Chandler,"$2,564,753 ","$3,055,048 "
Thabo Sefolosha,"$2,564,753 ","$3,055,048 "
Jose Juan Barea,"$2,564,753 ","$3,055,048 "
Wilson Chandler,"$2,564,753 ","$3,055,048 "
Vince Carter,"$2,564,753 ","$3,055,048 "
Josh Okogie,"$2,530,680 ","$3,014,461 "
Vincent Poirier,"$2,505,793 ","$2,984,817 "
Rondae Hollis-Jefferson,"$2,500,000 ","$2,977,916 "
Brandon Clarke,"$2,478,840 ","$2,952,711 "
Terrance Ferguson,"$2,475,840 ","$2,949,138 "
Grayson Allen,"$2,429,400 ","$2,893,820 "
